bsg-s000089|Gene Ontology|https://tess.elixir-uk.org/materials/go-quick-tour
bsg-s000531|Variant Effect Predictor data format|https://tess.elixir-uk.org/materials/ensembl-variant-effect-predictor-vep-webinar
bsg-s000559|Resource Description Framework|https://tess.elixir-uk.org/materials/biosamples-database-rdf-webinar
bsg-s000617|Cellular Microscopy Phenotype Ontology|https://tess.elixir-uk.org/materials/cellular-microscopy-phenotype-ontology-cmpo-quick-tour
biodbcore-000015|ChEMBL: a large-scale bioactivity database for drug discovery|https://tess.elixir-uk.org/materials/chembl-walkthrough-webinar
biodbcore-000015|ChEMBL: a large-scale bioactivity database for drug discovery|https://tess.elixir-uk.org/materials/chembl-exploring-bioactive-drug-like-molecules
biodbcore-000015|ChEMBL: a large-scale bioactivity database for drug discovery|https://tess.elixir-uk.org/materials/chembl-quick-tour
biodbcore-000043|Expression Atlas|https://tess.elixir-uk.org/materials/expression-atlas-quick-tour
biodbcore-000054|IntAct molecular interaction database|https://tess.elixir-uk.org/materials/intact-molecular-interactions-at-embl-ebi
biodbcore-000054|IntAct molecular interaction database|https://tess.elixir-uk.org/materials/intact-quick-tour
biodbcore-000054|IntAct molecular interaction database|https://tess.elixir-uk.org/materials/intact-the-molecular-interactions-database-at-embl-ebi-webinar
biodbcore-000116|Gene3D|https://tess.elixir-uk.org/materials/cath-gene3d
biodbcore-000168|MetaboLights|https://tess.elixir-uk.org/materials/metabolights-quick-tour
biodbcore-000305|ArrayExpress|https://tess.elixir-uk.org/materials/arrayexpress-quick-tour
biodbcore-000305|ArrayExpress|https://tess.elixir-uk.org/materials/arrayexpress-discover-functional-genomics-data-quickly-and-easily
biodbcore-000306|A repository of mathematical models of biological and biomedical systems|https://tess.elixir-uk.org/materials/biomodels-database-quick-tour
biodbcore-000308|Europe PubMed Central|https://tess.elixir-uk.org/materials/europe-pmc-quick-tour
biodbcore-000310|European Nucleotide Archive|https://tess.elixir-uk.org/materials/ebi-metagenomics-portal-submitting-metagenomics-data-to-the-european-nucleotide-archive
biodbcore-000310|European Nucleotide Archive|https://tess.elixir-uk.org/materials/european-nucleotide-archive-ena-an-introduction-webinar
biodbcore-000310|European Nucleotide Archive|https://tess.elixir-uk.org/materials/european-nucleotide-archive-quick-tour
biodbcore-000310|European Nucleotide Archive|https://tess.elixir-uk.org/materials/european-nucleotide-archive-using-the-primary-nucleotide-sequence-resource
biodbcore-000315|Integrated resource of protein families, domains and functional sites|https://tess.elixir-uk.org/materials/interpro-functional-and-structural-analysis-of-protein-sequences
